FAAM-ID,Title,Permalink,"Holding Institution","Score format","Score complexity","GitHub Image URL"
KCA-030903772801,"Beatrijs : sinfonisch poema",https://anet.be/record/opacdkvc/c:lvd:14539687/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030903772801/images/
KCA-030902499117,"Les sirènes: poème musical pour choeur à 8 voix mixtes, op. 1",https://anet.be/record/opacdkvc/c:lvd:6720098/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902499117/images/
KCA-030901779048,"Karel van Gelderland: rol van den hertog",https://anet.be/record/opacdkvc/c:lvd:7056340/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901779048/images/
KCA-030902126769,"Alva's intocht",https://anet.be/record/opacdkvc/c:lvd:7093130/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902126769/images/
KCA-030902126769,"Alva's intocht",https://anet.be/record/opacdkvc/c:lvd:7093130/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902126769/images/
KCA-030902125514,"Allegro con fuoco",https://anet.be/record/opacdkvc/c:lvd:7088413/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902125514/images/
KCA-030902125688,"Allegro con fuoco",https://anet.be/record/opacdkvc/c:lvd:7088413/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902125688/images/
KCA-030901779030,"Parisina: inleiding van het drama",https://anet.be/record/opacdkvc/c:lvd:7056339/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Lithographic quality",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901779030/images/
KCA-030902137303,"Het piknikje",https://anet.be/record/opacdkvc/c:lvd:12868012/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902137303/images/
KCA-030902610788,"Het hemelbed : ballet . Halewijn : pianouitreksel . Blaaskwintet",https://anet.be/record/opacdkvc/c:lvd:13207450/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902610788/images/
KCA-030904383624,"Dominus conserveteum : à 4 voix",https://anet.be/record/opacdkvc/c:lvd:15167741/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030904383624/images/
KCA-030902126678,Andromeda,https://anet.be/record/opacdkvc/c:lvd:6803135/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902126678/images/
KCA-030901829637,"Keizer Tiberius: openingstuk: overgeschreven voor harmonie en fanfare",https://anet.be/record/opacdkvc/c:lvd:6803166/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901829637/images/
KCA-030901519410,"Andante: per clavicembalo",https://anet.be/record/opacdkvc/c:lvd:12935510/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901519410/images/
KCA-030902584132,"Action de grâces : voor orgel",https://anet.be/record/opacdkvc/c:lvd:13125663/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902584132/images/
KCA-030902419677,Capricio,https://anet.be/record/opacdkvc/c:lvd:12910268/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902419677/images/
KCA-030902419669,"Fantaisie: pour orchestre",https://anet.be/record/opacdkvc/c:lvd:12910262/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902419669/images/
KCA-030902584041,"Hymne au roi (des belges) : air de concert : tenor ou mez. sop.",https://anet.be/record/opacdkvc/c:lvd:13125770/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902584041/images/
KCA-030902584090,Improvisata,https://anet.be/record/opacdkvc/c:lvd:13125737/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902584090/images/
KCA-030902519450,"In nomine Jesu: baryton",https://anet.be/record/opacdkvc/c:lvd:13044763/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902519450/images/
KCA-030902606158,"In nomine Jesu: baryton",https://anet.be/record/opacdkvc/c:lvd:13044763/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902606158/images/
KCA-030902594008,"Concert aria : kerstnacht = Air de concert : nuit de Noël",https://anet.be/record/opacdkvc/c:lvd:13119473/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902594008/images/
KCA-030902580874,"Concert aria : kerstnacht = Air de concert : nuit de Noël",https://anet.be/record/opacdkvc/c:lvd:13119473/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902580874/images/
KCA-030902518999,"Concert aria : kerstnacht = Air de concert : nuit de Noël",https://anet.be/record/opacdkvc/c:lvd:13119473/N,"Heritage Library Royal Conservatoire Antwerp",Parts,"Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902518999/images/
KCA-030902605721,"Kinder cantate",https://anet.be/record/opacdkvc/c:lvd:13221835/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902605721/images/
KCA-030902593638,"Offertoire : orgue ou harmonium",https://anet.be/record/opacdkvc/c:lvd:13152649/N,"Heritage Library Royal Conservatoire Antwerp","Polyphonic Parts","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902593638/images/
KCA-030902567517,"Yolande : lyrische legende",https://anet.be/record/opacdkvc/c:lvd:7062538/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Manuscript sketch",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030902567517/images/
KCA-030901410586,"Concertstuk: harmonie-fanfare",https://anet.be/record/opacdkvc/c:lvd:7014841/N,"Heritage Library Royal Conservatoire Antwerp","Full Score","Mechanical print",https://github.com/nicholascornia89/FAAM-dataset/tree/main/raw-images/KCA-030901410586/images/
